Rating,Title,Seeds,Leeches,Date,Link
15,9-1-1.S03E18.720p.WEB.x265-MiNX[TGx] ⭐,236,171,3am May. 12th,1337x.to/torrent/4449238/9-1-1-S03E18-720p-WEB-x265-MiNX-TGx/
16,The Way Back (2020) [720p] [BluRay] [YTS] [YIFY],538,486,2am May. 12th,1337x.to/torrent/4449219/The-Way-Back-2020-720p-BluRay-YTS-YIFY/
17,Have.a.Good.Trip.Adventures.in.Psychedelics.2020.720p.NF.WEBRip.800MB.x264-Galax...,203,100,2am May. 12th,1337x.to/torrent/4449204/Have-a-Good-Trip-Adventures-in-Psychedelics-2020-720p-NF-WEBRip-800MB-x264-GalaxyRG/
18,Rev.2020.HDRip.XviD.AC3-EVO[TGx] ⭐,228,153,7am May. 12th,1337x.to/torrent/4449453/Rev-2020-HDRip-XviD-AC3-EVO-TGx/
19,Rick and Morty S04E07 Promortyus (Uncensored 1080p WEB-DL x265 HEVC 10bit AC3 DD...,211,46,4pm May. 12th,1337x.to/torrent/4450034/Rick-and-Morty-S04E07-Promortyus-Uncensored-1080p-WEB-DL-x265-HEVC-10bit-AC3-DD5-1-theincognito-UTR/
20,20 For Dummies Series Books Collection Pack-30,187,111,1pm May. 12th,1337x.to/torrent/4449798/20-For-Dummies-Series-Books-Collection-Pack-30/
21,Assorted Books Collection - May 12 2020 Part-2,167,147,1pm May. 12th,1337x.to/torrent/4449820/Assorted-Books-Collection-May-12-2020-Part-2/
22,Adobe Acrobat PRO DC 2020.009.20063 FULL [TheWindowsForum],152,71,10am May. 12th,1337x.to/torrent/4449645/Adobe-Acrobat-PRO-DC-2020-009-20063-FULL-TheWindowsForum/
23,Assorted Books Collection - May 12 2020,152,130,1pm May. 12th,1337x.to/torrent/4449816/Assorted-Books-Collection-May-12-2020/
24,All.For.Nikki.2020.720p.WEBRip.800MB.x264-GalaxyRG ⭐,206,190,7am May. 12th,1337x.to/torrent/4449459/All-For-Nikki-2020-720p-WEBRip-800MB-x264-GalaxyRG/
25,The Way Back (2020) [1080p] [BluRay] [5.1] [YTS] [YIFY],518,646,5am May. 12th,1337x.to/torrent/4449302/The-Way-Back-2020-1080p-BluRay-5-1-YTS-YIFY/
26,Justice League Dark: Apokolips War (2020) [1080p] [BluRay] [5.1] [YTS] [YIFY],457,371,7am May. 12th,1337x.to/torrent/4449479/Justice-League-Dark-Apokolips-War-2020-1080p-BluRay-5-1-YTS-YIFY/
27,Roswell New Mexico S02E09 HDTV x264-KILLERS [eztv],186,40,4am May. 12th,1337x.to/torrent/4449262/Roswell-New-Mexico-S02E09-HDTV-x264-KILLERS-eztv/
28,20 History Books Collection Pack-25,152,88,1pm May. 12th,1337x.to/torrent/4449812/20-History-Books-Collection-Pack-25/
29,9-1-1 S03E18 480p x264-mSD [eztv],360,40,2am May. 12th,1337x.to/torrent/4449174/9-1-1-S03E18-480p-x264-mSD-eztv/
30,Home Repair & Renovating: Homeowners Guide DIY Home Repair Book Money-Saving Pro...,149,25,10am May. 12th,1337x.to/torrent/4449650/Home-Repair-Renovating-Homeowners-Guide-DIY-Home-Repair-Book-Money-Saving-Projects/
31,Wiring Guide 2020: The Complete Indoor And Outdoor Wiring Guide Including Smart ...,158,27,10am May. 12th,1337x.to/torrent/4449656/Wiring-Guide-2020-The-Complete-Indoor-And-Outdoor-Wiring-Guide-Including-Smart-Home-Wiring-In-2020/
32,Roswell.New.Mexico.S02E09.720p.HDTV.x265-MiNX[TGx] ⭐,180,32,4am May. 12th,1337x.to/torrent/4449291/Roswell-New-Mexico-S02E09-720p-HDTV-x265-MiNX-TGx/
33,American Dad S16E05 720p HDTV x264-KILLERS [eztv],221,24,4am May. 12th,1337x.to/torrent/4449288/American-Dad-S16E05-720p-HDTV-x264-KILLERS-eztv/
34,Sin (2020) Addatimes Hindi Series ( S01 Com E01 - 06 ) 720p HDRip x264 AAC. HC E...,50,68,2pm May. 12th,1337x.to/torrent/4449861/Sin-2020-Addatimes-Hindi-Series-S01-Com-E01-06-720p-HDRip-x264-AAC-HC-ENG-Sub/
35,Rick and Morty S04E07 Promortyus 720p AMZN WEB-DL DD+5 1 H 264-CtrlHD [eztv],484,41,8pm May. 12th,1337x.to/torrent/4450259/Rick-and-Morty-S04E07-Promortyus-720p-AMZN-WEB-DL-DD-5-1-H-264-CtrlHD-eztv/
36,20 Architecture Books Collection Pack-18,126,112,1pm May. 12th,1337x.to/torrent/4449801/20-Architecture-Books-Collection-Pack-18/
37,Fast N Loud S13E07 Galaxie Quest DISC WEB-DL AAC2 0 x264-BOOP [eztv],123,10,5am May. 12th,1337x.to/torrent/4449321/Fast-N-Loud-S13E07-Galaxie-Quest-DISC-WEB-DL-AAC2-0-x264-BOOP-eztv/
38,WWE Monday Night Raw 2020 05 11 720p HDTV x264-NWCHD [TJET],117,23,5am May. 12th,1337x.to/torrent/4449324/WWE-Monday-Night-Raw-2020-05-11-720p-HDTV-x264-NWCHD-TJET/
39,Cardinal S04E06 HDTV x264-CROOKS [eztv],116,18,5am May. 12th,1337x.to/torrent/4449304/Cardinal-S04E06-HDTV-x264-CROOKS-eztv/
40,9-1-1.S03E18.WEB.X264-ALiGN[TGx] ⭐,165,47,2am May. 12th,1337x.to/torrent/4449213/9-1-1-S03E18-WEB-X264-ALiGN-TGx/
41,Roswell.New.Mexico.S02E09.HDTV.x264-KILLERS[TGx] ⭐,158,53,4am May. 12th,1337x.to/torrent/4449271/Roswell-New-Mexico-S02E09-HDTV-x264-KILLERS-TGx/
42,Ram Ki Janmabhoomi (2019) Hindi 720p Shemaroo WEB-DL x264 AAC 1GB - MovCr,57,28,8am May. 12th,1337x.to/torrent/4449512/Ram-Ki-Janmabhoomi-2019-Hindi-720p-Shemaroo-WEB-DL-x264-AAC-1GB-MovCr/
43,Capone 2020 1080p WEBRip HEVC x265-RMTeam,126,88,5pm May. 12th,1337x.to/torrent/4450088/Capone-2020-1080p-WEBRip-HEVC-x265-RMTeam/
44,Downhill (2020) [1080p] [BluRay] [5.1] [YTS] [YIFY],246,204,3am May. 12th,1337x.to/torrent/4449234/Downhill-2020-1080p-BluRay-5-1-YTS-YIFY/
45,The 2020 Lithium-Ion Battery Guide: The Easy DIY Guide To Building Your Own Batt...,99,13,10am May. 12th,1337x.to/torrent/4449651/The-2020-Lithium-Ion-Battery-Guide-The-Easy-DIY-Guide-To-Building-Your-Own-Battery-Packs/
46,101 Essays That Will Change The Way You Think [EPUB],0,105,3pm May. 12th,1337x.to/torrent/4449980/101-Essays-That-Will-Change-The-Way-You-Think-EPUB/
47,Almost Paradise S01E07 480p x264-mSD [eztv],84,21,5am May. 12th,1337x.to/torrent/4449316/Almost-Paradise-S01E07-480p-x264-mSD-eztv/
48,The Baker and the Beauty US S01E05 HDTV x264-KILLERS [eztv],75,20,5am May. 12th,1337x.to/torrent/4449341/The-Baker-and-the-Beauty-US-S01E05-HDTV-x264-KILLERS-eztv/
49,WWE.Monday.Night.Raw.2020.05.11.HDTV.x264-NWCHD[TGx] ⭐,74,28,5am May. 12th,1337x.to/torrent/4449325/WWE-Monday-Night-Raw-2020-05-11-HDTV-x264-NWCHD-TGx/
50,Capone.2020.720p.WEBRip.x264.AAC-ETRG,126,46,11am May. 12th,1337x.to/torrent/4449676/Capone-2020-720p-WEBRip-x264-AAC-ETRG/
